area,1.5m humi_y,1.5m temp_y,5cm earth_y,radio,all_product
177.45,84,4.5,7.3,10.52,790
169.04,59,4.3,6.6,21.54,330.3
169.04,47,5,7.5,16.64,20
177.45,64,2.5,5.8,20.38,592.5
169.04,63,5.3,6.6,21.51,272.6
177.45,61,5,6.2,20.18,1417
169.04,67,7,7.2,12.77,168
169.04,67,6.5,7.8,11.58,70
177.45,78,6.9,7.8,12.29,574.5
169.04,64,7.4,8.3,20.15,136.8
177.45,75,5.9,7.9,18.23,566.5
169.04,59,7.5,8,15.7,92.2
169.04,67,7.4,8.4,10.31,107.1
177.45,58,5.9,7.6,16.17,862.5
169.04,70,10.1,9.3,19.84,125.5
177.45,71,8.3,9.4,17.63,727
169.04,81,12.5,9.4,4.84,388
177.45,81,11.8,9.6,3.8,669
169.04,83,9.2,10.2,6.48,438.2
177.45,88,7.8,10.1,7.46,1043.5
169.04,62,5.8,8.2,22.77,554.9
169.04,55,6.5,9.4,13.81,30
177.45,64,4.2,8.8,17.17,570
169.04,50,6.2,7.3,18.02,435.7
177.45,69,3.3,7,14.16,1145
169.04,73,6.4,7.8,16.2,273.6
169.04,73,5.9,8.3,8.58,10
177.45,69,6.4,7.9,14.29,560
169.04,68,10,9.6,19.73,403.2
177.45,76,9.1,9.5,16.07,795.5
169.04,66,12.7,10.7,22.01,171
177.45,68,12.8,10.3,15.12,912
169.04,66,13,12.8,19.96,398.1
177.45,71,9.9,11.8,13.5,1114.5
169.04,60,11.5,12.3,22.14,387.3
177.45,58,9.9,11.7,16.01,1085.5
169.04,67,8.7,12.2,17.36,419.5
177.45,76,6.5,10.2,7.83,1134.5
169.04,50,7,9.5,13.58,25
177.45,56,4.9,8.6,18.16,564.5
169.04,53,7.8,10.4,25.76,102.6
177.45,59,5.5,9.3,19.54,1004
169.04,53,6.5,10,26.11,94.2
169.04,40,7.4,10.5,13.99,40
177.45,62,5.5,9.4,16.53,599
169.04,60,8.1,10.3,25.32,333.2
177.45,63,7.4,9.7,19.99,1257
169.04,66,9.4,11.1,14.77,356
72.14,47,10,10,20.15,80
169.04,50,12.8,11.7,11.9,50
177.45,68,8.3,9.9,11.02,777.5
169.04,58,11.9,11.7,23.61,303
177.45,56,10.9,10.6,15.65,524.5
169.04,63,13.3,12.6,23.79,181.1
177.45,60,10.6,11.6,17.95,1303
169.04,70,10.3,11.7,9.95,134.4
177.45,67,11.2,11.4,8.47,862
169.04,89,8.1,10.4,5.66,176.6
169.04,90,8.6,10.9,4.93,50
177.45,85,7.9,9.9,4.17,596.75
169.04,80,9,10.6,15.88,408
177.45,83,8.5,10.9,12.83,1368
169.04,67,9.4,11.2,24.49,532
169.04,54,11.6,12.2,14.12,60
177.45,75,8.9,11.9,19.16,1181.75
169.04,61,9.9,11.2,20.57,415.2
177.45,62,10.5,12.5,19.04,1055
169.04,59,9.9,11.2,27.04,137.4
177.45,67,9.1,12.6,21.08,1240.5
169.04,52,13,12.3,22,148.2
177.45,49,13.5,12.8,8.44,1378.5
169.04,74,13.7,13.7,12.65,145.6
177.45,64,14.3,14.9,13,1416
169.04,69,14.5,14.3,26.71,162.1
177.45,77,14.5,15.3,19.8,1557
169.04,75,15.5,15.6,9.93,337.4
169.04,79,14.2,14.5,4.86,30
177.45,85,15.8,16.3,9.97,967.5
169.04,69,16.2,16.4,25.15,459.1
177.45,69,16.9,17.8,19.83,835
169.04,70,18.5,18.1,24.77,314
169.04,73,17.5,16.7,15.34,10
177.45,76,18.3,18.6,20.68,1097
169.04,81,16.3,17.2,5.55,579.3
177.45,88,17.3,17.8,5.24,1040
169.04,87,17.8,17,7.08,363.4
169.04,93,17.3,16.2,5.92,20
177.45,94,17.1,18.2,9.53,642.5
169.04,94,15,16.4,3.82,562
177.45,97,13.6,16.8,2.88,1080
169.04,87,9.3,14.2,4.66,252
169.04,79,10.8,14.4,4.73,30
177.45,96,9.3,14.3,2.72,735
169.04,73,11.9,14.2,24.06,81.2
177.45,74,12.1,15.2,19.97,555
169.04,92,12.4,14,3.53,383.3
169.04,96,12.4,13.8,1.33,30
177.45,97,10.9,14.4,2.8,951.5
169.04,89,15,15.1,15.19,283
177.45,89,14.2,16.5,19.56,1165
169.04,78,13.9,16,24.41,356.9
169.04,71,15.6,16,14.06,10
177.45,87,12.9,17.2,20.16,702.5
169.04,69,12.9,15.9,29.51,669.8
177.45,77,13.1,17.3,23.32,1127.5
169.04,61,15.2,16.5,29.12,320.3
169.04,59,15.1,16,16.59,20
177.45,70,15.2,17.5,22.03,1116.5
169.04,63,16.7,17.2,24.43,461.4
177.45,71,16.4,18.1,19.52,790
169.04,60,12.8,18.1,29.02,1120.1
196.85,62,13.2,19.2,22.24,19
169.04,49,15.3,17.3,16.35,50
177.45,58,12.9,18.1,24.18,616
169.04,55,11.8,17,30.21,865.8
177.45,65,12.2,17.2,23.63,1213
169.04,54,12.9,16.8,22,1245.2
169.04,38,15.8,16.6,12.74,60
177.45,62,13.3,16.7,17.32,1075.75
169.04,52,14.7,17.9,27,760.4
72.14,49,15.7,18.9,25.62,171.6
177.45,62,14,17.9,21.82,1307
169.04,57,15.8,18.4,27.79,914.8
72.14,56,16.2,19.1,25.91,28
169.04,43,17.5,18,14.46,40
177.45,64,15.5,18.2,22.72,1075.5
169.04,61,17.3,19.4,27.71,797.4
72.14,46,17.8,20.2,25.31,50.4
177.45,66,16.6,19.5,22.26,1599.25
169.04,63,18.4,20.3,24.3,897
169.04,73,17.4,19.4,14.3,110
177.45,69,18.3,20.1,18.19,1123.25
169.04,69,21.5,22,25.95,1226.3
177.45,73,20.2,21.6,22.01,1130.25
169.04,76,20.3,22.4,24.38,1430.8
72.14,58,20,21.9,22.71,150.4
169.04,70,20.7,21.7,14.88,10
177.45,70,21,22.3,20.9,1144.5
169.04,67,20.8,22.7,28.23,666.1
177.45,72,21.7,22.8,19.69,1290.25
169.04,71,19.9,22.4,18.33,631.5
72.14,50,22.6,22.7,14.17,76
177.45,75,21.8,22.4,12.65,599
169.04,82,18.8,20.1,8.22,932.3
177.45,88,19.6,21.1,9.22,757.25
169.04,69,15.6,19.9,21.04,2494.7
72.14,65,15.7,20.7,25.57,28
169.04,64,16.7,18.8,12.66,20
177.45,75,16,21.8,20.35,1184.25
169.04,67,14.6,18.1,30.95,1276.3
72.14,58,16.8,19.6,29.06,9
177.45,73,16.3,20.3,24.98,1107.95
213.55,69,17.4,19.2,29.34,72
169.04,67,17.8,19.3,30.92,986.6
72.14,51,19.4,20.6,27.97,200
169.04,65,18,18.5,17.93,130
177.45,72,18.9,21.1,24.25,1867.5
169.04,70,20.1,21,29.67,1757.9
177.45,69,20.8,22.1,23.67,1218
169.04,69,21,22.3,27.49,1672.8
72.14,57,23,22.6,26.3,136
169.04,62,22.3,20.8,16.45,110
177.45,72,22.3,22.8,21.83,1035
169.04,72,20.4,22.4,21.88,1551.2
72.14,51,22.8,22.8,20.66,108
177.45,71,21.6,22.5,15.57,1026
169.04,91,18.1,21.3,2.86,2997.8
169.04,91,19.1,20.4,3.04,70
177.45,98,17.6,21.3,2.02,870.35
169.04,70,15.7,19.4,23.99,2741.2
177.45,82,16,19.8,14.5,2104.5
169.04,71,17.9,19.7,30.46,2128.7
196.85,53,18.8,21.2,30.14,230
169.04,52,20.9,19.6,18.1,70
177.45,81,18,21.2,24.97,1382
169.04,66,19.1,20.8,21.84,1904.3
177.45,69,19.2,21.3,17.28,1616.9
169.04,78,16.9,21,25.04,803.7
72.14,51,18.8,21.7,28.55,54
169.04,79,16.9,19.8,13.01,30
177.45,78,18.1,22.3,21.72,1405.85
169.04,73,18.3,21.2,24.94,1012.5
72.14,65,17.8,20.9,18.99,84
177.45,79,18,22,20.16,1947.2
169.04,68,20.8,23.1,29.12,3884.3
196.85,64,21.7,25.4,27.47,119
72.14,49,22.2,22.8,26.32,212
177.45,70,21.6,23.4,22.94,1157.45
169.04,69,22,24.2,28.56,2586.1
177.45,75,22.2,24.7,22.64,1987.45
169.04,75,22.6,24.9,28.52,2197.2
72.14,70,21.6,24.4,23.58,24
169.04,66,24.4,23.4,16.54,30
177.45,86,21.7,25.8,22.6,1185.5
169.04,84,21,24.4,14.2,2492.1
72.14,79,21.2,22.7,6.36,66
177.45,91,21.2,24.3,9.14,1893.1
169.04,94,19.1,22,7.42,2895.9
72.14,76,20.1,21.1,12.43,80
169.04,88,20.2,21.2,7.49,30
177.45,98,19.1,22.4,5.75,704.25
169.04,81,20.6,22.6,14,2466.2
177.45,88,21,23.7,19.55,1143.25
169.04,84,18.9,22.8,10.45,5412.2
213.55,82,18.8,21.6,12.6,6
72.14,67,19.7,22.1,16.92,149
169.04,80,19.3,22,8.51,100
177.45,92,19.1,23.3,6.72,924
169.04,88,17.7,21.4,12.76,3284.6
177.45,90,19.1,23.4,16.72,1321.75
169.04,80,19.8,22,24.51,3029
177.45,82,20.6,24.2,23.31,1068.7
169.04,77,20.7,23.2,24.2,2987.4
177.45,79,22,25.2,21.85,1920.25
169.04,91,18.5,22,8.27,3121.2
213.55,65,21.1,23,21.26,4
169.04,84,19.8,21.7,3.95,110
177.45,85,21.2,24.2,9.18,1552.4
169.04,77,20.1,22.1,29.06,3422.5
177.45,85,20.2,24.4,22.39,1278.1
169.04,76,20.9,23.3,26.17,5384.3
196.85,66,21.9,27.1,25.94,125
72.14,64,21.1,23.7,25.39,144
177.45,83,21.1,25.2,22.6,1048.5
213.55,85,20.5,21.8,10.55,2
169.04,80,21.2,23.3,17.04,3458.2
196.85,74,21.3,26.4,18.21,30
177.45,84,22.1,24.7,14.11,1627
169.04,79,22.6,24.4,24.49,3567.3
196.85,72,22.7,27.1,19.98,8
177.45,86,22.4,25.7,16.39,942.85
169.04,81,22.3,25.1,24.97,3499.6
213.55,80,21.2,23.2,18.15,4
177.45,86,22.4,25.9,18.51,1939.75
169.04,78,22.6,25.8,28.76,2618.7
72.14,75,22.4,23.9,17.58,80
213.55,78,21.5,24.2,21.76,17.5
169.04,70,24.4,24.9,17.79,30
177.45,85,22.7,26.6,21.44,2382.3
169.04,85,21.1,25.1,16.73,2568.5
177.45,90,22.2,26,16.98,1871.35
169.04,76,22.9,25.2,26.46,3697.6
213.55,66,22.4,25.2,29.58,12
169.04,75,23.2,25,17.05,40
177.45,80,22.8,27,24.69,1173.5
169.04,78,23.4,25.6,20.76,2772
72.14,51,24.9,25,28.2,28
177.45,75,24.4,27.6,24.05,1966.5
169.04,95,19.9,23.6,6.04,3636.3
169.04,95,20.2,22.6,1.51,50
177.45,97,21.5,25.7,6.98,1390.5
213.55,86,23.4,24.5,12.35,30
169.04,87,24.1,24.4,17.37,2877
177.45,94,23.8,26.1,12.54,1705.5
213.55,79,23.1,25.1,20.19,4
169.04,83,23.5,25.6,23.7,2931.5
196.85,83,23.4,25.9,15.86,80
169.04,79,23.9,25.2,18.71,40
177.45,88,24.5,27.6,20.93,1870.5
169.04,97,21,24.3,3.88,2597.3
213.55,91,22.1,24.1,9.55,21
177.45,100,21.8,25.7,3.24,1340.85
169.04,96,21.7,24.3,7.47,3882.9
196.85,80,22.5,25.4,13.85,120
213.55,78,22.4,24.3,18.78,20
72.14,71,23.3,24.4,20.26,70
177.45,91,23.4,26.4,9.13,1774.5
169.04,81,23.5,24.9,24.88,2716.4
213.55,82,22.7,25,23.63,27.5
72.14,71,23.7,24.6,22.97,132
177.45,85,23.4,26.6,22.15,1704.46
213.55,78,22.5,25.5,20.03,38.7
169.04,84,22.1,25,19.94,3496.2
72.14,73,23.7,24.8,14.82,60
177.45,86,23.6,26.4,15.11,1772.75
169.04,80,24.1,25.6,25.62,2618.2
213.55,74,22.9,26.4,27.57,30
177.45,80,24,27.4,21.03,1023.75
169.04,80,24.7,26.6,21.45,2981.3
213.55,64,24.7,27.4,27.54,45
177.45,79,25.4,27.9,22.04,1947
169.04,75,24.6,26.9,29.97,1753.4
213.55,49,27.1,28,29.11,52
177.45,72,26.4,28.4,24.15,1913.35
169.04,79,22.8,26,22.23,2316.4
213.55,53,25,28.2,27.83,28
196.85,76,20.8,27,16.75,70
72.14,44,25.1,25.1,20.58,188
177.45,74,24.2,27.6,21.3,1322.8
169.04,79,23.2,26,17.93,2206.9
213.55,55,25,28,24.85,58
169.04,77,23.2,24.3,9.58,10
177.45,74,25,27.6,20.16,954
213.55,75,21.6,25.2,7.09,8
169.04,92,20.7,24.8,5.07,1149.2
177.45,91,21.6,26.3,5.1,1302.9
169.04,90,21,23.6,8.26,1679.1
213.55,87,21.2,24.3,12.15,60
196.85,83,23.5,25.6,12.04,10
177.45,98,21.4,25,6.68,1235
169.04,83,22.9,24.3,18.93,2451.8
213.55,84,22.2,25.1,22.7,16
177.45,90,23.1,26.4,17.34,1838.2
213.55,93,21.9,23.7,9.71,58
169.04,86,22.7,24.8,14.99,1450.3
177.45,91,23.4,26.4,12.64,2100.25
213.55,91,23.1,25.1,12.25,25.5
169.04,86,23.7,26,18.79,2467.3
196.85,89,22,26.1,7.16,300
72.14,84,23.9,25.1,9.43,100
177.45,89,24.9,27.7,16.62,1774.9
213.55,84,23.9,26.1,22.91,36
169.04,85,23.9,26.3,16.62,1062.4
196.85,77,24.2,27,18.89,10
72.14,78,25.1,25.2,16.2,150
169.04,82,24.1,25.3,13.01,50
177.45,88,25.2,27.9,18.65,1578
213.55,81,24.2,25.9,14.91,75
169.04,82,24.3,26.6,22.35,741.9
196.85,80,24.4,27.6,18.23,170
72.14,75,25.9,25.5,13.08,80
177.45,87,26.1,28.3,15.41,1159
213.55,80,25.2,26.9,22.67,111
169.04,91,22.9,25.8,9.78,746.7
169.04,90,22.9,24.2,4.02,20
177.45,94,24.8,28,10.44,1695.5
169.04,89,24.3,25.2,5.65,734.1
213.55,79,26.7,27,17.85,116
177.45,88,27,28,9.26,853.85
213.55,82,26.3,26.3,9.57,170
169.04,91,24,24.7,5.61,748.9
177.45,97,25.6,28.1,7.31,730.35
213.55,91,25.1,26.6,17.89,90
169.04,91,25.8,26.4,20.36,567.4
196.85,79,27.1,28,24.15,280
213.55,86,26.7,27.4,22.72,71
169.04,86,26.7,27.7,23.36,378.1
196.85,78,28.2,29.7,25.75,20
177.45,86,28.6,29.3,18.75,1183.8
169.04,90,25.9,27.2,7.39,320.2
213.55,94,25.6,26.4,6.79,119
72.14,88,26.5,,2.5,122
177.45,92,27.8,29,7.62,1528.5
169.04,89,26.9,27.4,11.58,437.8
72.14,95,26.2,,3.88,20
169.04,91,26.5,26.2,6.58,70
177.45,98,27.4,28.7,6.93,1673.9
169.04,90,26.8,27.6,8.63,466.4
196.85,89,27,28.3,11.04,100
213.55,97,24.9,25.3,2.45,93
177.45,98,26.9,28.8,5.14,1320.85
169.04,98,25.5,27,5.74,541.1
213.55,92,26.6,26.7,17.01,12
72.14,84,28.3,,18.4,30
169.04,94,26.2,26.4,3.07,100
177.45,97,27.3,28.5,8.71,1063.35
213.55,87,26.8,26.5,19.42,130
196.85,84,27.2,29.5,22.8,160
177.45,87,28.3,29,19.71,952.5
169.04,88,26.7,28.1,22.88,527
213.55,91,27.1,26.7,11.78,52
169.04,83,28.2,28.2,17.63,3
177.45,89,28.9,29.5,17.95,1286
213.55,97,26.2,26.2,3.78,50
169.04,85,27.7,28.8,23.97,319.6
196.85,78,28.8,30.5,22.18,10
72.14,89,26.9,,5.25,80
169.04,83,28.2,28.6,18.31,50
177.45,86,29.2,29.8,18.5,1593
213.55,90,27.3,27.6,20.9,20
169.04,84,27.8,29.6,23.97,300.6
169.04,81,28.1,28.8,19.11,90
177.45,91,28.2,30,17.19,1460.35
169.04,84,28,30.3,21.24,302.6
196.85,77,28.7,31.8,27.41,110
169.04,79,28.7,29.1,18.06,19
177.45,90,28.9,30.4,20.09,1269
177.45,93,27.2,30.3,16.18,1297.6
213.55,76,28.5,29.3,19.6,760
196.85,75,28.6,31.9,23.48,110
169.04,81,28.4,30.8,18.71,340
72.14,70,30.4,,19.87,116
177.45,87,28.9,30.1,16.84,957.2
213.55,68,29.7,29.7,23.48,982
196.85,83,25.4,29.9,13.36,10
169.04,82,28.2,30.9,21.25,230
177.45,84,28.6,29.9,16.38,1027.5
169.04,85,27.3,30.9,23.51,332
177.45,90,28.7,30.4,19.18,861.5
213.55,80,28.1,29.5,18.94,38
169.04,83,27.5,30.7,15.88,284.5
177.45,91,28.1,30.4,14.3,1222.8
213.55,79,28.4,30.1,20.39,28
196.85,84,27.2,30.7,25.62,30
169.04,84,27.4,30.5,17.01,179
169.04,78,28,28.7,11.85,13
177.45,82,29.9,31.7,21.35,1042.85
213.55,68,30.5,30.2,23.82,43
169.04,72,28.6,30.8,25.09,252.6
177.45,75,30.5,32,20.25,621
169.04,85,28,27.2,6.44,40
177.45,93,28.1,30.2,9.9,821
196.85,77,28.1,31.1,18.67,185
169.04,84,28.4,29.3,19.16,194.8
177.45,84,29.5,31.3,19.69,533
169.04,86,29,30.1,23.34,264.2
177.45,80,29.9,31.3,15.22,684
169.04,87,27.1,29.8,15.22,238.3
213.55,89,25.7,28.8,7.82,12
177.45,95,26.1,29.6,9.51,279.5
169.04,89,25.3,28.8,12.6,382.4
213.55,85,25.8,28.5,19.07,29
72.14,76,25.7,,14.67,40
177.45,94,26.1,29.6,13.67,427.25
169.04,85,26,28.7,22.21,233.5
177.45,89,26,29,16.01,1001.65
169.04,83,24,28.4,22.05,350
177.45,85,25,29,19.77,955.85
213.55,78,26.6,27.9,18.99,20
169.04,84,25.6,28.5,14.05,349
177.45,83,27.3,29.5,17.45,1034.5
196.85,79,25.7,29.6,18.17,30
169.04,91,25.9,28.8,10.81,175.5
177.45,89,27.1,30.1,14.13,852.85
169.04,87,26.2,28.5,16.28,100
196.85,88,24.8,28.6,11.59,120
213.55,79,25.3,28,14.86,28
177.45,90,25.7,29.5,15.27,866.5
196.85,79,23.4,27.9,17.9,180
169.04,85,24.2,27.9,15.94,155
177.45,88,24.4,28.4,12.97,807.5
169.04,86,22.3,27,15.48,211
213.55,86,22.1,25.7,9.99,56
177.45,88,22.7,26.8,9.45,519.5
213.55,76,24.2,26.5,23.36,52
177.45,82,25.2,27.6,20,1037.75
169.04,96,22.9,26.4,4.59,321.6
213.55,87,23.3,26.4,13.92,24
169.04,93,23.2,24.5,2.09,130
177.45,98,22.7,27.2,5.96,1051.25
213.55,84,24.4,27,20.41,34
169.04,90,23.9,26.4,9.97,359
213.55,92,21.9,25.4,9.63,46
169.04,95,22,25.7,5.96,183.5
177.45,93,23.6,26.8,10.14,871
169.04,85,21.9,25.7,21.47,205
196.85,79,21.7,26,23.55,40
177.45,86,22.8,26.6,18.42,1048
169.04,87,21.2,25.3,19.15,93.9
213.55,82,21.1,24.8,21.91,4
177.45,85,22.7,26.1,15.25,1124.85
72.14,75,24.3,24.5,16.29,8
213.55,80,22.6,24.7,14.14,16
177.45,96,22.1,26.3,6.7,604.3
72.14,82,23.8,24.3,7.13,16
213.55,85,23.3,24.8,9.77,36
177.45,100,22.8,25.9,5.68,576.1
213.55,90,24,25,10.77,13.5
169.04,95,23.8,24.9,8.3,135
177.45,96,24.8,26.5,9.68,858
169.04,93,23.7,25.5,13.59,67.2
72.14,97,23.5,24,4.91,224
213.55,96,23,24.7,4.84,9.5
177.45,97,23.7,26.9,6.97,517.5
213.55,92,25,25.1,7.59,100
177.45,93,25.9,26.5,7.31,916.5
72.14,80,26.4,24.4,4.52,24
169.04,92,23.8,25.3,6.24,145
169.04,88,24.8,24.5,5.17,270
177.45,90,25.8,26.4,5.43,1037.85
169.04,92,24.5,25.5,8.6,607
196.85,90,24.3,27.1,8.59,150
72.14,91,24.4,24.4,7.21,52
169.04,89,25.5,25.1,8.14,679
177.45,99,24.1,27,7.41,1128.6
169.04,88,25,26.2,19.19,965.2
213.55,91,24.8,25,5.8,33.5
72.14,94,24.9,24.7,7.31,16
177.45,86,26.9,27.4,13.98,1077.25
169.04,87,25.5,27,14.24,631.5
213.55,91,23.5,25,9.1,64
72.14,85,24.2,24.3,7.29,52
177.45,94,25.1,27.2,8.9,1236.95
169.04,85,22.6,26.5,5.64,100.9
72.14,84,20.7,22.6,3.56,8
169.04,86,23.7,26.8,15.82,1929
213.55,74,23.7,25.3,20.67,40
72.14,71,24.3,24.4,20.32,28
169.04,83,24,25.6,12.15,110
177.45,83,24.4,26.9,16.14,566
169.04,79,21.6,26.3,23.93,1576.9
72.14,58,22.9,22.9,20.95,1200
177.45,73,22.4,25.4,18.27,839.6
169.04,76,19.9,25.1,23.21,437.1
213.55,60,20.4,23.8,22.36,34
177.45,75,20.5,25.2,17.86,1371.35
169.04,77,18.2,24,23.12,1684.8
213.55,60,18.9,22,20.2,40
177.45,79,18.8,23.2,17.67,731.5
169.04,78,19,23.7,13.7,204.4
213.55,61,19.7,21.7,9.89,70
177.45,83,19.9,23.2,5.44,1014
213.55,78,18.3,20.9,4.06,80
169.04,96,16.9,22.5,3.19,2103.5
72.14,75,19.3,19.9,2.94,52
169.04,90,18.3,21,1.16,60
177.45,96,17.9,22.7,2.31,804.5
169.04,79,18.6,21.5,22.76,470
213.55,65,18.8,20.6,20.32,30
196.85,84,17.5,20.6,7.89,85
177.45,83,18.6,21.8,15.7,496.75
213.55,78,17.4,20.3,18.56,48
169.04,84,16.5,21.8,21.62,2731.8
72.14,76,18.4,19.6,19.31,8
177.45,86,17.6,21.4,17.5,1247.5
169.04,86,17.9,21.9,16.73,673.3
213.55,81,18.7,20.3,14.76,48
72.14,83,19.6,20,15.7,70
169.04,79,18.7,20.9,10.21,30
177.45,88,18.6,21.4,12.25,1284.85
169.04,84,20.2,22.4,16.32,2632.1
213.55,78,20.4,21.4,12.29,50
72.14,74,22.1,20.8,14.32,44
177.45,91,20,22.4,9.35,1217
213.55,75,22,22,12.53,50
169.04,84,21.8,23.2,14.55,1702.6
72.14,68,22.7,21.2,12.26,24
177.45,86,22,23,15.6,763.5
169.04,89,23.3,24.3,13.23,2805.7
213.55,76,21.8,22.9,16.32,80
72.14,79,22.8,22.4,15.29,40
177.45,89,23.2,23.9,11.71,1073.6
213.55,80,20.9,22.4,17.7,84.5
169.04,90,22.2,24.5,14.74,1924.8
